outcome,outcome_clean,temp1,melting_temp2,annealing_temp2,extension_temp2,cycles2,temp3,band_size,dna_amt,t1(sec),melting_t2(sec),annealing_t3(sec),extension_t4(sec),t5(sec),Tm_p1_p3orig,Tm_p2_p3orig,Tm_p1_p3,Tm_p2_p3,Tm_p1_BSU,Tm_p2_BSU,Tm_dif_IDT,HPin_Tm_Max,Heterodimer_tm,Homodimer_maxTm,GC_ClampMin,GC_ClampMax,MaxTm_IDT,MinTm_IDT,MaxGC,MinGC,MaxPlen,MinPlen,TotPrimer
0,0,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
0,0,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
0,0,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.69742000113007,55.66508472656636,59.31007665976341,60.05349258891118,65.55081813977932,2.88741026539941,49.49550520614156,0.0,12.001509800874317,39,39,58.394749126438285,55.507338861038875,82.3529411764706,57.142857142857146,21,17,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
1,1,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.69742000113007,55.66508472656636,59.31007665976341,60.05349258891118,65.55081813977932,2.88741026539941,49.49550520614156,0.0,12.001509800874317,39,39,58.394749126438285,55.507338861038875,82.3529411764706,57.142857142857146,21,17,0.4
0,0,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
0,0,94,94,60,72,44,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
0,0,94,94,55,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,55,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
0,0,94,94,55,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
0,0,94,94,55,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
0,0,94,94,55,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,55.57740558401645,55.66508472656636,55.66508472656636,60.05349258891118,60.05349258891118,0.0,49.49550520614156,12.001509800874317,12.001509800874317,39,39,55.507338861038875,55.507338861038875,57.142857142857146,57.142857142857146,21,21,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.69742000113007,55.66508472656636,59.31007665976341,60.05349258891118,65.55081813977932,2.88741026539941,49.49550520614156,0.0,12.001509800874317,39,39,58.394749126438285,55.507338861038875,82.3529411764706,57.142857142857146,21,17,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.69742000113007,55.66508472656636,59.31007665976341,60.05349258891118,65.55081813977932,2.88741026539941,49.49550520614156,0.0,12.001509800874317,39,39,58.394749126438285,55.507338861038875,82.3529411764706,57.142857142857146,21,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.69742000113007,56.03074314293582,59.31007665976341,58.341798794015915,65.55081813977932,2.4176818289259927,46.21059474111206,0.0,0.0,35,39,58.394749126438285,55.97706729751229,82.3529411764706,50.0,24,17,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,52.87936712036111,56.03074314293582,52.64102282787309,58.341798794015915,55.32760832155674,3.2506374866041483,42.85456345300116,0.0,0.0,35,36,55.97706729751229,52.726429810908144,55.0,50.0,24,20,0.4
1,1,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.25758002363273,59.48449034843054,56.03074314293582,59.83263569279785,58.341798794015915,64.52290706489043,3.1543131408758427,43.21537071829357,0.0,0.0,35,39,59.131380438388135,55.97706729751229,70.0,50.0,24,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.69742000113007,55.66508472656636,59.31007665976341,60.05349258891118,65.55081813977932,2.88741026539941,49.49550520614156,0.0,12.001509800874317,39,39,58.394749126438285,55.507338861038875,82.3529411764706,57.142857142857146,21,17,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,52.87936712036111,55.66508472656636,52.64102282787309,60.05349258891118,55.32760832155674,2.780909050130731,49.49550520614156,0.0,12.001509800874317,36,39,55.507338861038875,52.726429810908144,57.142857142857146,55.0,21,20,0.4
0,0,94,94,60,72,30,72,369.0,0.0,30,30,30,30,600,55.57740558401645,59.48449034843054,55.66508472656636,59.83263569279785,60.05349258891118,64.52290706489043,3.62404157734926,49.49550520614156,0.0,12.001509800874317,39,39,59.131380438388135,55.507338861038875,70.0,57.142857142857146,21,20,0.4
1,0,94,94,54,72,30,72,400.0,200.0,30,30,30,30,300,56.18442341846253,56.18442341846253,56.06684678515899,56.06684678515899,60.58467732413459,60.58467732413459,0.0,52.614910814256916,0.0,0.0,37,37,55.852404196305656,55.852404196305656,66.66666666666667,66.66666666666667,18,18,0.5
1,1,98,98,71,72,27,72,1304.0,0.1,30,7,20,20,300,55.73764150892106,59.30192577284885,57.29464419376757,61.31001139908835,58.833242454555034,63.45426519860854,3.7185483275704883,32.93144930461375,0.0,0.0,31,33,60.04255276224791,56.32400443467742,54.166666666666664,50.0,24,24,1.0
1,1,98,98,71,72,27,72,1304.0,1.0,30,7,20,20,300,55.73764150892106,59.30192577284885,57.29464419376757,61.31001139908835,58.833242454555034,63.45426519860854,3.7185483275704883,32.93144930461375,0.0,0.0,31,33,60.04255276224791,56.32400443467742,54.166666666666664,50.0,24,24,1.0
1,1,98,98,71,72,27,72,1304.0,3.0,30,7,20,20,300,55.73764150892106,59.30192577284885,57.29464419376757,61.31001139908835,58.833242454555034,63.45426519860854,3.7185483275704883,32.93144930461375,0.0,0.0,31,33,60.04255276224791,56.32400443467742,54.166666666666664,50.0,24,24,1.0
1,1,98,98,71,72,27,72,1304.0,0.1,30,7,20,20,300,55.73764150892106,59.30192577284885,57.29464419376757,61.31001139908835,58.833242454555034,63.45426519860854,3.7185483275704883,32.93144930461375,0.0,0.0,31,33,60.04255276224791,56.32400443467742,54.166666666666664,50.0,24,24,1.0
1,1,98,98,71,72,27,72,1304.0,1.0,30,7,20,20,300,55.73764150892106,59.30192577284885,57.29464419376757,61.31001139908835,58.833242454555034,63.45426519860854,3.7185483275704883,32.93144930461375,0.0,0.0,31,33,60.04255276224791,56.32400443467742,54.166666666666664,50.0,24,24,1.0
1,1,98,98,71,72,27,72,1304.0,3.0,30,7,20,20,300,55.73764150892106,59.30192577284885,57.29464419376757,61.31001139908835,58.833242454555034,63.45426519860854,3.7185483275704883,32.93144930461375,0.0,0.0,31,33,60.04255276224791,56.32400443467742,54.166666666666664,50.0,24,24,1.0
0,0,94,94,56,65,30,65,2.5,0.0,30,30,45,180,600,50.358096267645806,52.16185166448372,51.09521295557869,52.12258638926801,54.4992056992574,54.93372123618957,0.7554830298560091,47.53719957032695,0.0,0.0,29,33,51.410944189008546,50.65546115915254,64.70588235294117,57.89473684210526,19,17,0.8
0,0,94,94,56,65,30,65,2.5,0.0,30,30,45,180,600,50.358096267645806,52.92174815311546,51.09521295557869,54.18673348225536,54.4992056992574,55.940130329727936,3.304023000841653,42.36965015594069,0.0,0.0,29,40,53.95948415999419,50.65546115915254,57.89473684210526,47.82608695652174,23,19,0.8
0,0,94,94,56,65,30,65,2.5,0.0,30,30,45,180,600,59.51341936131769,52.92174815311546,60.84807680310581,54.18673348225536,62.70501610449645,55.940130329727936,5.887118739459538,39.59980047839741,0.0,0.0,35,40,59.84660289945373,53.95948415999419,61.904761904761905,47.82608695652174,23,21,0.8
1,0,94,94,56,65,30,65,2.5,0.0,30,30,45,180,600,59.51341936131769,52.16185166448372,60.84807680310581,52.12258638926801,62.70501610449645,54.93372123618957,8.435658710445182,47.53719957032695,0.0,0.0,33,35,59.84660289945373,51.410944189008546,64.70588235294117,61.904761904761905,21,17,0.8
0,0,95,95,59,72,30,72,2.0,50.0,120,30,30,270,600,62.76560389318007,64.70753068055598,65.76513386262513,68.37881121692186,68.75525239616695,69.84460585076982,2.8997757346893422,59.75446020782175,0.0,14.074072287294655,37,39,66.73526699060619,63.83549125591685,57.142857142857146,47.5,40,28,1.0
1,1,98,98,72,72,29,72,2.0,10.0,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
0,0,98,98,72,72,29,72,2.0,1.0,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
1,1,98,98,72,72,29,72,2.0,8.4,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
1,1,98,98,72,72,29,72,2.0,4.2,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
1,1,98,98,72,72,29,72,2.0,5.0,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
1,1,98,98,72,72,29,72,2.0,1.0,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
1,1,98,98,72,72,29,72,2.0,0.1,30,7,20,260,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
1,0,94,94,54,72,30,72,400.0,200.0,30,30,30,30,300,56.18442341846253,56.18442341846253,56.06684678515899,56.06684678515899,60.58467732413459,60.58467732413459,0.0,52.614910814256916,0.0,0.0,37,37,55.852404196305656,55.852404196305656,66.66666666666667,66.66666666666667,18,18,0.5
1,1,94,94,55,68,35,68,1038.0,0.0,60,30,30,70,300,53.20308899128668,56.35470438073702,53.155951034012844,57.02174016064424,58.346456231520335,60.75346568908685,3.947450472351136,50.76293615694715,0.0,0.0,32,37,56.91237690426317,52.96492643191203,66.66666666666667,54.54545454545455,22,18,0.5
1,1,94,94,55,68,35,68,736.0,0.0,60,30,30,70,300,53.80357061784861,47.01456184068758,54.25322800523202,46.121506622187894,57.516116034531365,48.95539059349852,7.706506034492691,35.28733165877236,0.0,0.0,34,34,54.39440292667723,46.68789689218454,52.38095238095238,50.0,21,18,0.5
1,1,94,94,56,68,35,68,1100.0,0.0,60,30,30,60,300,56.35470438073702,53.20308899128668,56.74158424788385,52.815898026928664,60.46446030188366,57.99478007758751,4.0071292339867455,50.76293615694715,0.0,0.0,32,37,56.63243462844315,52.625305394456404,66.66666666666667,54.54545454545455,22,18,0.4
1,1,98,98,72,72,29,72,1027.0,10.0,30,7,20,10,600,69.19889520279429,62.692261785745245,73.57953601402107,65.05119697407349,77.79078479993495,68.61271684491692,8.17799650847536,59.04137696272983,0.0,34.81441463754595,31,42,71.39641247852967,63.21841597005431,60.0,55.0,40,25,1.0
0,0,98,98,72,72,29,72,1027.0,1.0,30,7,20,10,600,69.19889520279429,62.692261785745245,73.57953601402107,65.05119697407349,77.79078479993495,68.61271684491692,8.17799650847536,59.04137696272983,0.0,34.81441463754595,31,42,71.39641247852967,63.21841597005431,60.0,55.0,40,25,1.0
0,0,98,98,72,72,29,72,1027.0,0.1,30,7,20,10,600,69.19889520279429,62.692261785745245,73.57953601402107,65.05119697407349,77.79078479993495,68.61271684491692,8.17799650847536,59.04137696272983,0.0,34.81441463754595,31,42,71.39641247852967,63.21841597005431,60.0,55.0,40,25,1.0
1,1,98,98,72,72,31,72,1027.0,5.0,30,7,20,20,600,69.19889520279429,62.692261785745245,73.57953601402107,65.05119697407349,77.79078479993495,68.61271684491692,8.17799650847536,59.04137696272983,0.0,34.81441463754595,31,42,71.39641247852967,63.21841597005431,60.0,55.0,40,25,1.0
1,1,98,98,72,72,31,72,1027.0,10.0,30,7,20,20,600,69.19889520279429,62.692261785745245,73.57953601402107,65.05119697407349,77.79078479993495,68.61271684491692,8.17799650847536,59.04137696272983,0.0,34.81441463754595,31,42,71.39641247852967,63.21841597005431,60.0,55.0,40,25,1.0
1,1,98,98,72,72,31,72,1027.0,15.0,30,7,20,20,600,69.19889520279429,62.692261785745245,73.57953601402107,65.05119697407349,77.79078479993495,68.61271684491692,8.17799650847536,59.04137696272983,0.0,34.81441463754595,31,42,71.39641247852967,63.21841597005431,60.0,55.0,40,25,1.0
1,1,98,98,72,72,29,72,2.0,1.0,30,7,20,30,600,62.76560389318007,65.35496464651715,65.8994741422668,69.39420795262532,69.77747832143314,71.80630851979907,3.5015870515633196,60.655264827353335,0.0,14.84637139798508,37,39,67.63947851530219,64.13789146373887,57.142857142857146,50.0,40,28,1.0
1,1,98,98,72,72,29,72,2.0,1.0,30,7,20,30,600,62.76560389318007,65.35496464651715,65.8994741422668,69.39420795262532,69.77747832143314,71.80630851979907,3.5015870515633196,60.655264827353335,0.0,14.84637139798508,37,39,67.63947851530219,64.13789146373887,57.142857142857146,50.0,40,28,1.0
1,1,98,98,72,72,29,72,2.0,5.0,30,7,20,30,600,62.76560389318007,65.35496464651715,65.8994741422668,69.39420795262532,69.77747832143314,71.80630851979907,3.5015870515633196,60.655264827353335,0.0,14.84637139798508,37,39,67.63947851530219,64.13789146373887,57.142857142857146,50.0,40,28,1.0
1,1,98,98,72,72,29,72,2.0,1.0,30,7,20,30,600,62.76560389318007,64.70753068055598,65.8994741422668,68.46051071831846,69.77747832143314,70.54036676608695,2.7531670480173602,60.655264827353335,0.0,14.84637139798508,37,39,66.89105851175623,64.13789146373887,57.142857142857146,47.5,40,28,1.0
